nr,year,union,married,educ
13,1980,0,0,14
13,1981,1,0,14
13,1982,0,0,14
13,1983,0,0,14
13,1984,0,0,14
13,1985,0,0,14
13,1986,0,0,14
13,1987,0,0,14
17,1980,0,0,13
17,1981,0,0,13
17,1982,0,0,13
17,1983,0,0,13
17,1984,0,0,13
17,1985,0,0,13
17,1986,0,0,13
17,1987,0,0,13
18,1980,0,1,12
18,1981,0,1,12
18,1982,0,1,12
18,1983,0,1,12
18,1984,0,1,12
18,1985,0,1,12
18,1986,0,1,12
18,1987,0,1,12
45,1980,1,0,12
45,1981,1,0,12
45,1982,0,0,12
45,1983,0,0,12
45,1984,0,0,12
45,1985,0,0,12
45,1986,0,0,12
45,1987,0,1,12
110,1980,1,0,12
110,1981,0,0,12
110,1982,0,0,12
110,1983,0,0,12
110,1984,0,1,12
110,1985,0,1,12
110,1986,0,1,12
110,1987,0,1,12
120,1980,0,0,10
120,1981,0,0,10
120,1982,0,0,10
120,1983,0,0,10
120,1984,0,0,10
120,1985,0,0,10
120,1986,0,0,10
120,1987,0,0,10
126,1980,0,0,13
126,1981,0,0,13
126,1982,0,0,13
126,1983,0,0,13
126,1984,0,0,13
126,1985,0,1,13
126,1986,0,1,13
126,1987,0,1,13
150,1980,0,0,12
150,1981,0,0,12
150,1982,0,0,12
150,1983,0,0,12
150,1984,0,0,12
150,1985,0,0,12
150,1986,0,0,12
150,1987,1,0,12
162,1980,1,0,11
162,1981,0,0,11
162,1982,0,0,11
162,1983,0,0,11
162,1984,0,0,11
162,1985,0,0,11
162,1986,0,0,11
162,1987,0,0,11
166,1980,1,0,10
166,1981,1,0,10
166,1982,1,0,10
166,1983,1,0,10
166,1984,1,0,10
166,1985,0,0,10
166,1986,0,1,10
166,1987,0,1,10
189,1980,0,0,14
189,1981,0,0,14
189,1982,0,0,14
189,1983,0,0,14
189,1984,0,0,14
189,1985,0,0,14
189,1986,0,0,14
189,1987,0,0,14
193,1980,0,0,14
193,1981,0,0,14
193,1982,0,0,14
193,1983,0,0,14
193,1984,0,0,14
193,1985,0,1,14
193,1986,0,1,14
193,1987,0,1,14
209,1980,0,0,11
209,1981,0,0,11
209,1982,0,0,11
209,1983,0,0,11
209,1984,0,0,11
209,1985,0,0,11
209,1986,0,0,11
209,1987,0,0,11
212,1980,0,0,11
212,1981,0,0,11
212,1982,1,0,11
212,1983,0,0,11
212,1984,0,0,11
212,1985,0,0,11
212,1986,0,1,11
212,1987,1,1,11
218,1980,0,0,15
218,1981,0,0,15
218,1982,0,0,15
218,1983,0,1,15
218,1984,0,1,15
218,1985,0,1,15
218,1986,0,1,15
218,1987,0,1,15
243,1980,0,0,12
243,1981,0,0,12
243,1982,0,0,12
243,1983,0,1,12
243,1984,0,1,12
243,1985,0,1,12
243,1986,0,1,12
243,1987,0,1,12
259,1980,1,1,12
259,1981,1,1,12
259,1982,1,1,12
259,1983,1,1,12
259,1984,0,1,12
259,1985,0,1,12
259,1986,0,1,12
259,1987,0,1,12
260,1980,1,0,11
260,1981,1,0,11
260,1982,0,0,11
260,1983,0,1,11
260,1984,0,1,11
260,1985,0,1,11
260,1986,0,1,11
260,1987,0,1,11
309,1980,0,0,12
309,1981,0,0,12
309,1982,0,0,12
309,1983,0,1,12
309,1984,0,1,12
309,1985,0,1,12
309,1986,0,1,12
309,1987,0,1,12
351,1980,0,0,12
351,1981,0,0,12
351,1982,0,1,12
351,1983,0,1,12
351,1984,0,1,12
351,1985,0,1,12
351,1986,0,1,12
351,1987,0,1,12
353,1980,0,0,12
353,1981,1,0,12
353,1982,0,0,12
353,1983,0,0,12
353,1984,0,0,12
353,1985,0,0,12
353,1986,0,0,12
353,1987,0,0,12
383,1980,0,0,12
383,1981,0,0,12
383,1982,1,0,12
383,1983,0,0,12
383,1984,0,0,12
383,1985,0,0,12
383,1986,0,0,12
383,1987,0,0,12
408,1980,0,0,11
408,1981,0,1,11
408,1982,0,1,11
408,1983,0,1,11
408,1984,1,1,11
408,1985,1,1,11
408,1986,1,1,11
408,1987,1,1,11
424,1980,0,1,12
424,1981,0,1,12
424,1982,0,1,12
424,1983,0,1,12
424,1984,0,1,12
424,1985,0,1,12
424,1986,0,1,12
424,1987,0,1,12
464,1980,0,0,13
464,1981,0,0,13
464,1982,0,1,13
464,1983,0,1,13
464,1984,0,1,13
464,1985,0,1,13
464,1986,0,1,13
464,1987,0,1,13
483,1980,0,0,12
483,1981,0,0,12
483,1982,0,0,12
483,1983,1,0,12
483,1984,0,0,12
483,1985,0,0,12
483,1986,0,0,12
483,1987,0,0,12
556,1980,0,0,14
556,1981,0,0,14
556,1982,0,0,14
556,1983,0,0,14
556,1984,0,0,14
556,1985,0,0,14
556,1986,0,0,14
556,1987,0,0,14
560,1980,0,0,12
560,1981,0,0,12
560,1982,0,0,12
560,1983,0,0,12
560,1984,0,0,12
560,1985,0,0,12
560,1986,1,0,12
560,1987,0,0,12
569,1980,0,0,12
569,1981,0,0,12
569,1982,0,0,12
569,1983,0,0,12
569,1984,0,0,12
569,1985,0,0,12
569,1986,0,0,12
569,1987,0,0,12
583,1980,0,0,12
583,1981,0,0,12
583,1982,1,0,12
583,1983,1,0,12
583,1984,0,1,12
583,1985,0,1,12
583,1986,0,1,12
583,1987,0,0,12
647,1980,1,0,12
647,1981,1,1,12
647,1982,1,1,12
647,1983,1,1,12
647,1984,1,0,12
647,1985,1,1,12
647,1986,1,1,12
647,1987,1,1,12
658,1980,1,0,12
658,1981,0,0,12
658,1982,1,0,12
658,1983,1,0,12
658,1984,0,0,12
658,1985,0,0,12
658,1986,0,0,12
658,1987,0,0,12
684,1980,0,0,12
684,1981,0,0,12
684,1982,0,1,12
684,1983,0,1,12
684,1984,0,1,12
684,1985,0,1,12
684,1986,0,1,12
684,1987,0,1,12
711,1980,0,0,11
711,1981,0,0,11
711,1982,0,0,11
711,1983,0,0,11
711,1984,0,0,11
711,1985,0,0,11
711,1986,0,0,11
711,1987,0,0,11
729,1980,1,1,13
729,1981,0,0,13
729,1982,1,1,13
729,1983,1,1,13
729,1984,0,1,13
729,1985,0,1,13
729,1986,0,1,13
729,1987,0,1,13
731,1980,0,0,12
731,1981,0,1,12
731,1982,0,1,12
731,1983,0,1,12
731,1984,0,1,12
731,1985,0,0,12
731,1986,0,0,12
731,1987,0,0,12
732,1980,0,0,12
732,1981,0,0,12
732,1982,0,0,12
732,1983,0,0,12
732,1984,0,0,12
732,1985,0,0,12
732,1986,0,0,12
732,1987,0,0,12
793,1980,0,0,14
793,1981,0,0,14
793,1982,0,0,14
793,1983,0,0,14
793,1984,0,0,14
793,1985,0,0,14
793,1986,0,0,14
793,1987,0,0,14
797,1980,0,0,10
797,1981,1,0,10
797,1982,1,0,10
797,1983,0,1,10
797,1984,1,1,10
797,1985,1,1,10
797,1986,1,1,10
797,1987,1,1,10
800,1980,1,0,11
800,1981,1,0,11
800,1982,1,0,11
800,1983,1,0,11
800,1984,1,0,11
800,1985,0,0,11
800,1986,1,1,11
800,1987,1,1,11
813,1980,0,0,13
813,1981,0,0,13
813,1982,0,0,13
813,1983,0,0,13
813,1984,0,0,13
813,1985,0,0,13
813,1986,0,0,13
813,1987,0,0,13
823,1980,0,0,10
823,1981,0,0,10
823,1982,0,0,10
823,1983,0,0,10
823,1984,0,0,10
823,1985,0,0,10
823,1986,0,0,10
823,1987,0,0,10
827,1980,0,0,12
827,1981,0,0,12
827,1982,0,0,12
827,1983,0,0,12
827,1984,0,0,12
827,1985,0,0,12
827,1986,0,1,12
827,1987,0,1,12
847,1980,1,0,14
847,1981,1,0,14
847,1982,0,0,14
847,1983,0,0,14
847,1984,0,0,14
847,1985,1,0,14
847,1986,0,0,14
847,1987,1,1,14
851,1980,0,0,12
851,1981,0,0,12
851,1982,0,1,12
851,1983,0,1,12
851,1984,0,1,12
851,1985,1,1,12
851,1986,1,1,12
851,1987,1,0,12
863,1980,0,0,12
863,1981,0,0,12
863,1982,0,0,12
863,1983,0,0,12
863,1984,0,0,12
863,1985,0,1,12
863,1986,0,1,12
863,1987,0,1,12
873,1980,1,0,10
873,1981,0,0,10
873,1982,0,0,10
873,1983,1,0,10
873,1984,1,0,10
873,1985,1,0,10
873,1986,1,0,10
873,1987,1,0,10
891,1980,1,0,12
891,1981,1,1,12
891,1982,1,1,12
891,1983,1,0,12
891,1984,0,1,12
891,1985,1,1,12
891,1986,1,1,12
891,1987,0,0,12
908,1980,1,0,10
908,1981,1,0,10
908,1982,1,0,10
908,1983,1,0,10
908,1984,1,0,10
908,1985,0,0,10
908,1986,0,0,10
908,1987,0,1,10
910,1980,0,0,13
910,1981,0,0,13
910,1982,0,0,13
910,1983,0,0,13
910,1984,0,0,13
910,1985,0,0,13
910,1986,0,0,13
910,1987,0,0,13
916,1980,0,0,13
916,1981,0,0,13
916,1982,0,0,13
916,1983,0,0,13
916,1984,0,0,13
916,1985,0,0,13
916,1986,0,0,13
916,1987,0,0,13
919,1980,0,1,12
919,1981,1,1,12
919,1982,1,1,12
919,1983,1,1,12
919,1984,1,1,12
919,1985,1,1,12
919,1986,1,1,12
919,1987,1,1,12
922,1980,0,0,12
922,1981,0,0,12
922,1982,0,0,12
922,1983,0,0,12
922,1984,0,0,12
922,1985,0,0,12
922,1986,0,0,12
922,1987,0,1,12
924,1980,0,0,11
924,1981,0,0,11
924,1982,0,0,11
924,1983,0,0,11
924,1984,0,0,11
924,1985,0,0,11
924,1986,0,0,11
924,1987,0,1,11
925,1980,0,0,15
925,1981,0,0,15
925,1982,0,0,15
925,1983,0,0,15
925,1984,0,0,15
925,1985,0,1,15
925,1986,0,1,15
925,1987,0,1,15
944,1980,0,0,13
944,1981,0,0,13
944,1982,0,0,13
944,1983,0,0,13
944,1984,0,0,13
944,1985,0,0,13
944,1986,0,0,13
944,1987,0,0,13
945,1980,0,0,14
945,1981,0,0,14
945,1982,0,0,14
945,1983,0,0,14
945,1984,0,0,14
945,1985,0,0,14
945,1986,0,0,14
945,1987,0,0,14
947,1980,1,0,13
947,1981,1,0,13
947,1982,1,1,13
947,1983,0,1,13
947,1984,0,1,13
947,1985,0,1,13
947,1986,0,1,13
947,1987,0,1,13
955,1980,1,0,12
955,1981,1,0,12
955,1982,1,0,12
955,1983,1,0,12
955,1984,1,0,12
955,1985,1,0,12
955,1986,1,0,12
955,1987,1,0,12
965,1980,0,0,12
965,1981,0,0,12
965,1982,0,0,12
965,1983,0,0,12
965,1984,0,1,12
965,1985,0,1,12
965,1986,0,1,12
965,1987,0,1,12
996,1980,0,1,11
996,1981,0,1,11
996,1982,0,1,11
996,1983,0,1,11
996,1984,0,1,11
996,1985,0,1,11
996,1986,0,1,11
996,1987,0,1,11
1007,1980,0,0,12
1007,1981,0,0,12
1007,1982,0,0,12
1007,1983,0,0,12
1007,1984,0,0,12
1007,1985,0,0,12
1007,1986,0,1,12
1007,1987,0,1,12
1054,1980,0,0,10
1054,1981,0,0,10
1054,1982,0,0,10
1054,1983,0,1,10
1054,1984,0,1,10
1054,1985,0,1,10
1054,1986,0,1,10
1054,1987,1,1,10
1064,1980,0,1,12
1064,1981,0,1,12
1064,1982,0,1,12
1064,1983,0,1,12
1064,1984,0,1,12
1064,1985,0,1,12
1064,1986,0,1,12
1064,1987,0,1,12
1081,1980,0,0,10
1081,1981,0,0,10
1081,1982,0,0,10
1081,1983,0,0,10
1081,1984,0,0,10
1081,1985,0,0,10
1081,1986,0,0,10
1081,1987,0,0,10
1085,1980,0,0,12
1085,1981,0,0,12
1085,1982,0,0,12
1085,1983,0,0,12
1085,1984,0,1,12
1085,1985,0,1,12
1085,1986,0,1,12
1085,1987,0,0,12
1091,1980,1,0,9
1091,1981,0,1,9
1091,1982,1,1,9
1091,1983,0,1,9
1091,1984,0,1,9
1091,1985,1,1,9
1091,1986,0,1,9
1091,1987,0,1,9
1094,1980,0,1,12
1094,1981,0,1,12
1094,1982,0,1,12
1094,1983,0,1,12
1094,1984,0,1,12
1094,1985,0,1,12
1094,1986,0,1,12
1094,1987,0,1,12
1096,1980,0,0,11
1096,1981,0,0,11
1096,1982,0,0,11
1096,1983,0,0,11
1096,1984,0,0,11
1096,1985,0,0,11
1096,1986,0,1,11
1096,1987,1,1,11
1098,1980,0,0,14
1098,1981,0,0,14
1098,1982,0,0,14
1098,1983,0,0,14
1098,1984,0,0,14
1098,1985,0,0,14
1098,1986,0,0,14
1098,1987,0,1,14
1102,1980,0,0,13
1102,1981,0,0,13
1102,1982,0,0,13
1102,1983,0,0,13
1102,1984,0,0,13
1102,1985,0,0,13
1102,1986,0,0,13
1102,1987,0,0,13
1107,1980,0,0,12
1107,1981,0,1,12
1107,1982,0,1,12
1107,1983,0,1,12
1107,1984,0,1,12
1107,1985,0,1,12
1107,1986,0,1,12
1107,1987,0,1,12
1142,1980,0,0,14
1142,1981,0,0,14
1142,1982,0,0,14
1142,1983,0,0,14
1142,1984,0,0,14
1142,1985,0,1,14
1142,1986,0,1,14
1142,1987,0,1,14
1156,1980,0,0,12
1156,1981,0,0,12
1156,1982,0,0,12
1156,1983,0,0,12
1156,1984,0,0,12
1156,1985,0,0,12
1156,1986,0,0,12
1156,1987,0,0,12
1180,1980,0,0,13
1180,1981,0,0,13
1180,1982,1,0,13
1180,1983,1,0,13
1180,1984,0,1,13
1180,1985,0,1,13
1180,1986,0,1,13
1180,1987,0,1,13
1190,1980,0,0,12
1190,1981,0,0,12
1190,1982,0,0,12
1190,1983,0,0,12
1190,1984,0,0,12
1190,1985,0,0,12
1190,1986,0,0,12
1190,1987,0,1,12
1204,1980,0,0,8
1204,1981,1,0,8
1204,1982,1,0,8
1204,1983,1,0,8
1204,1984,1,0,8
1204,1985,1,0,8
1204,1986,1,0,8
1204,1987,1,0,8
1249,1980,0,0,11
1249,1981,0,1,11
1249,1982,0,0,11
1249,1983,0,1,11
1249,1984,0,1,11
1249,1985,0,0,11
1249,1986,0,1,11
1249,1987,0,0,11
1272,1980,0,1,12
1272,1981,0,0,12
1272,1982,1,0,12
1272,1983,0,0,12
1272,1984,0,0,12
1272,1985,1,0,12
1272,1986,0,1,12
1272,1987,0,1,12
1311,1980,0,0,15
1311,1981,0,0,15
1311,1982,0,0,15
1311,1983,0,0,15
1311,1984,0,0,15
1311,1985,0,0,15
1311,1986,0,0,15
1311,1987,0,0,15
1316,1980,0,0,8
1316,1981,0,0,8
1316,1982,0,1,8
1316,1983,0,1,8
1316,1984,0,1,8
1316,1985,0,1,8
1316,1986,0,1,8
1316,1987,0,1,8
1318,1980,0,0,8
1318,1981,0,0,8
1318,1982,0,0,8
1318,1983,0,0,8
1318,1984,0,0,8
1318,1985,0,0,8
1318,1986,0,0,8
1318,1987,0,0,8
1345,1980,0,0,12
1345,1981,0,1,12
1345,1982,0,1,12
1345,1983,0,1,12
1345,1984,0,1,12
1345,1985,0,1,12
1345,1986,0,1,12
1345,1987,0,1,12
1397,1980,1,0,12
1397,1981,1,0,12
1397,1982,1,0,12
1397,1983,1,0,12
1397,1984,1,0,12
1397,1985,1,0,12
1397,1986,1,0,12
1397,1987,1,0,12
1434,1980,0,0,10
1434,1981,0,1,10
1434,1982,1,1,10
1434,1983,1,1,10
1434,1984,1,1,10
1434,1985,1,1,10
1434,1986,0,1,10
1434,1987,0,1,10
1492,1980,0,0,13
1492,1981,0,0,13
1492,1982,0,0,13
1492,1983,0,1,13
1492,1984,0,0,13
1492,1985,0,1,13
1492,1986,0,1,13
1492,1987,0,1,13
1496,1980,1,0,12
1496,1981,1,0,12
1496,1982,0,0,12
1496,1983,0,0,12
1496,1984,0,0,12
1496,1985,0,0,12
1496,1986,0,0,12
1496,1987,0,0,12
1506,1980,0,0,12
1506,1981,0,0,12
1506,1982,0,0,12
1506,1983,0,0,12
1506,1984,0,0,12
1506,1985,0,0,12
1506,1986,0,0,12
1506,1987,0,0,12
1515,1980,0,0,10
1515,1981,1,0,10
1515,1982,0,0,10
1515,1983,0,0,10
1515,1984,0,0,10
1515,1985,0,0,10
1515,1986,0,0,10
1515,1987,0,1,10
1520,1980,1,1,12
1520,1981,1,1,12
1520,1982,0,1,12
1520,1983,0,1,12
1520,1984,0,1,12
1520,1985,0,1,12
1520,1986,0,1,12
1520,1987,1,1,12
1528,1980,1,0,10
1528,1981,0,0,10
1528,1982,0,0,10
1528,1983,0,0,10
1528,1984,0,0,10
1528,1985,0,0,10
1528,1986,0,0,10
1528,1987,0,0,10
1554,1980,0,0,12
1554,1981,0,1,12
1554,1982,1,1,12
1554,1983,0,1,12
1554,1984,0,1,12
1554,1985,0,1,12
1554,1986,0,1,12
1554,1987,0,1,12
1575,1980,0,0,13
1575,1981,0,1,13
1575,1982,0,1,13
1575,1983,0,1,13
1575,1984,0,1,13
1575,1985,0,1,13
1575,1986,0,1,13
1575,1987,0,1,13
1576,1980,0,1,11
1576,1981,0,1,11
1576,1982,0,1,11
1576,1983,0,1,11
1576,1984,0,1,11
1576,1985,0,0,11
1576,1986,0,0,11
1576,1987,0,0,11
1628,1980,0,0,12
1628,1981,0,0,12
1628,1982,0,0,12
1628,1983,0,0,12
1628,1984,0,0,12
1628,1985,0,0,12
1628,1986,0,0,12
1628,1987,0,0,12
1641,1980,0,0,12
1641,1981,0,1,12
1641,1982,0,1,12
1641,1983,0,1,12
1641,1984,0,1,12
1641,1985,0,1,12
1641,1986,0,1,12
1641,1987,0,1,12
1644,1980,1,0,12
1644,1981,0,0,12
1644,1982,0,0,12
1644,1983,0,0,12
1644,1984,0,0,12
1644,1985,0,0,12
1644,1986,0,0,12
1644,1987,0,1,12
1653,1980,1,0,15
1653,1981,1,0,15
1653,1982,1,0,15
1653,1983,1,0,15
1653,1984,1,0,15
1653,1985,0,0,15
1653,1986,0,0,15
1653,1987,0,0,15
1654,1980,0,0,11
1654,1981,0,0,11
1654,1982,0,0,11
1654,1983,0,0,11
1654,1984,0,0,11
1654,1985,0,1,11
1654,1986,0,1,11
1654,1987,0,1,11
1721,1980,0,0,11
1721,1981,1,0,11
1721,1982,0,0,11
1721,1983,0,0,11
1721,1984,0,0,11
1721,1985,1,0,11
1721,1986,0,0,11
1721,1987,0,0,11
1742,1980,1,0,12
1742,1981,1,0,12
1742,1982,0,1,12
1742,1983,0,1,12
1742,1984,0,0,12
1742,1985,0,0,12
1742,1986,0,0,12
1742,1987,0,0,12
1744,1980,1,0,11
1744,1981,1,0,11
1744,1982,1,0,11
1744,1983,1,0,11
1744,1984,1,0,11
1744,1985,1,0,11
1744,1986,1,0,11
1744,1987,1,0,11
1763,1980,0,0,11
1763,1981,0,0,11
1763,1982,1,0,11
1763,1983,1,0,11
1763,1984,0,0,11
1763,1985,0,0,11
1763,1986,0,0,11
1763,1987,0,0,11
1777,1980,0,0,15
1777,1981,0,0,15
1777,1982,0,0,15
1777,1983,0,1,15
1777,1984,0,1,15
1777,1985,1,0,15
1777,1986,1,0,15
1777,1987,0,0,15
1843,1980,0,1,15
1843,1981,0,1,15
1843,1982,0,1,15
1843,1983,0,1,15
1843,1984,0,1,15
1843,1985,0,1,15
1843,1986,0,1,15
1843,1987,0,1,15
1891,1980,1,0,12
1891,1981,0,0,12
1891,1982,0,0,12
1891,1983,0,0,12
1891,1984,0,0,12
1891,1985,0,0,12
1891,1986,0,0,12
1891,1987,0,0,12
1895,1980,0,0,13
1895,1981,0,1,13
1895,1982,1,1,13
1895,1983,1,1,13
1895,1984,1,1,13
1895,1985,1,1,13
1895,1986,1,1,13
1895,1987,1,1,13
1899,1980,0,0,12
1899,1981,0,0,12
1899,1982,0,1,12
1899,1983,0,1,12
1899,1984,0,1,12
1899,1985,0,1,12
1899,1986,0,1,12
1899,1987,0,1,12
1925,1980,0,0,11
1925,1981,0,0,11
1925,1982,0,0,11
1925,1983,0,0,11
1925,1984,0,1,11
1925,1985,0,1,11
1925,1986,0,1,11
1925,1987,0,1,11
1930,1980,0,0,11
1930,1981,0,0,11
1930,1982,0,0,11
1930,1983,0,0,11
1930,1984,0,0,11
1930,1985,0,0,11
1930,1986,0,0,11
1930,1987,0,1,11
1961,1980,0,1,12
1961,1981,0,1,12
1961,1982,0,1,12
1961,1983,0,1,12
1961,1984,0,1,12
1961,1985,0,1,12
1961,1986,0,1,12
1961,1987,0,1,12
1963,1980,0,0,11
1963,1981,0,0,11
1963,1982,0,1,11
1963,1983,0,1,11
1963,1984,0,1,11
1963,1985,0,1,11
1963,1986,0,1,11
1963,1987,0,1,11
1979,1980,1,1,12
1979,1981,1,0,12
1979,1982,1,0,12
1979,1983,1,0,12
1979,1984,1,1,12
1979,1985,1,1,12
1979,1986,1,1,12
1979,1987,1,1,12
1988,1980,0,0,12
1988,1981,0,0,12
1988,1982,1,0,12
1988,1983,0,0,12
1988,1984,0,0,12
1988,1985,0,0,12
1988,1986,0,0,12
1988,1987,0,0,12
2000,1980,1,0,11
2000,1981,0,0,11
2000,1982,1,1,11
2000,1983,0,1,11
2000,1984,0,1,11
2000,1985,0,1,11
2000,1986,0,1,11
2000,1987,1,1,11
2014,1980,1,0,12
2014,1981,0,0,12
2014,1982,0,0,12
2014,1983,0,0,12
2014,1984,0,0,12
2014,1985,0,0,12
2014,1986,0,0,12
2014,1987,0,0,12
2025,1980,0,0,13
2025,1981,0,1,13
2025,1982,0,1,13
2025,1983,0,1,13
2025,1984,0,1,13
2025,1985,0,1,13
2025,1986,0,1,13
2025,1987,1,1,13
2038,1980,0,0,10
2038,1981,0,0,10
2038,1982,0,0,10
2038,1983,0,0,10
2038,1984,0,0,10
2038,1985,0,0,10
2038,1986,0,0,10
2038,1987,0,0,10
2075,1980,1,1,12
2075,1981,1,1,12
2075,1982,1,1,12
2075,1983,0,1,12
2075,1984,0,1,12
2075,1985,0,1,12
2075,1986,0,1,12
2075,1987,0,1,12
2101,1980,0,0,12
2101,1981,0,0,12
2101,1982,0,0,12
2101,1983,1,0,12
2101,1984,0,0,12
2101,1985,1,0,12
2101,1986,1,1,12
2101,1987,0,1,12
2106,1980,1,0,12
2106,1981,1,0,12
2106,1982,1,0,12
2106,1983,1,1,12
2106,1984,1,1,12
2106,1985,1,1,12
2106,1986,1,1,12
2106,1987,1,1,12
2107,1980,0,0,10
2107,1981,0,0,10
2107,1982,1,0,10
2107,1983,1,0,10
2107,1984,0,1,10
2107,1985,0,1,10
2107,1986,0,1,10
2107,1987,0,1,10
2108,1980,0,0,12
2108,1981,1,0,12
2108,1982,1,1,12
2108,1983,1,1,12
2108,1984,1,1,12
2108,1985,1,1,12
2108,1986,1,1,12
2108,1987,1,1,12
2147,1980,0,0,11
2147,1981,0,0,11
2147,1982,0,0,11
2147,1983,0,0,11
2147,1984,0,0,11
2147,1985,0,0,11
2147,1986,0,0,11
2147,1987,0,0,11
2157,1980,0,0,11
2157,1981,0,1,11
2157,1982,0,1,11
2157,1983,0,1,11
2157,1984,1,1,11
2157,1985,0,1,11
2157,1986,0,1,11
2157,1987,0,1,11
2163,1980,1,1,12
2163,1981,1,1,12
2163,1982,1,1,12
2163,1983,1,1,12
2163,1984,1,1,12
2163,1985,1,1,12
2163,1986,1,1,12
2163,1987,1,1,12
2173,1980,0,0,12
2173,1981,0,0,12
2173,1982,0,0,12
2173,1983,0,1,12
2173,1984,0,1,12
2173,1985,0,1,12
2173,1986,0,1,12
2173,1987,0,1,12
2180,1980,0,0,10
2180,1981,0,0,10
2180,1982,0,0,10
2180,1983,0,0,10
2180,1984,0,1,10
2180,1985,0,1,10
2180,1986,0,1,10
2180,1987,0,1,10
2183,1980,0,0,13
2183,1981,0,0,13
2183,1982,0,0,13
2183,1983,0,1,13
2183,1984,0,1,13
2183,1985,0,1,13
2183,1986,0,1,13
2183,1987,0,1,13
2216,1980,0,1,12
2216,1981,0,1,12
2216,1982,0,0,12
2216,1983,0,0,12
2216,1984,1,1,12
2216,1985,0,1,12
2216,1986,0,0,12
2216,1987,0,1,12
2220,1980,1,0,14
2220,1981,1,0,14
2220,1982,1,0,14
2220,1983,0,1,14
2220,1984,1,1,14
2220,1985,0,0,14
2220,1986,0,0,14
2220,1987,0,1,14
2227,1980,0,1,12
2227,1981,0,1,12
2227,1982,1,1,12
2227,1983,0,1,12
2227,1984,0,1,12
2227,1985,0,1,12
2227,1986,0,0,12
2227,1987,1,1,12
2264,1980,0,0,12
2264,1981,0,0,12
2264,1982,1,0,12
2264,1983,1,0,12
2264,1984,1,0,12
2264,1985,0,0,12
2264,1986,0,1,12
2264,1987,1,1,12
2306,1980,0,0,9
2306,1981,0,1,9
2306,1982,0,1,9
2306,1983,0,1,9
2306,1984,0,1,9
2306,1985,1,1,9
2306,1986,0,1,9
2306,1987,0,1,9
2312,1980,0,1,13
2312,1981,0,1,13
2312,1982,0,1,13
2312,1983,0,1,13
2312,1984,0,0,13
2312,1985,0,0,13
2312,1986,0,0,13
2312,1987,0,0,13
2314,1980,0,0,12
2314,1981,0,0,12
2314,1982,0,0,12
2314,1983,0,1,12
2314,1984,1,1,12
2314,1985,1,1,12
2314,1986,1,1,12
2314,1987,1,1,12
2329,1980,0,1,14
2329,1981,0,1,14
2329,1982,0,1,14
2329,1983,0,1,14
2329,1984,0,1,14
2329,1985,0,1,14
2329,1986,0,1,14
2329,1987,0,1,14
2335,1980,0,0,12
2335,1981,0,0,12
2335,1982,0,0,12
2335,1983,0,0,12
2335,1984,0,0,12
2335,1985,0,0,12
2335,1986,0,0,12
2335,1987,0,1,12
2341,1980,0,0,11
2341,1981,1,0,11
2341,1982,1,0,11
2341,1983,1,0,11
2341,1984,1,0,11
2341,1985,1,0,11
2341,1986,1,0,11
2341,1987,1,0,11
2351,1980,0,0,11
2351,1981,0,0,11
